公司,城市,简评,结果,难度,自评
vivo智能手机,深圳,<p>投了两个岗位，第一志愿是数据分析经理，第二个岗位是互联网产品经理，两个都发了测评链接，内容是一样的。提示说只需要做第一志愿的测评，但是楼主操作失误，先把第二志愿的测评做了。没办法又只得把第一志愿的再做一遍。就是一些工作态度、价值观、个人行为风格的测评，没有什么图形、数字推理题，笔试和面试的内容都是按照第一志愿走的。</p><p>笔试：数据分析经理以为会考很多数据处理的问题，比如机器学习的一些东西、数据库的东西，没想到除了几个计算机相关的东西，居然大部分都是考的高等数学，极限、线性代数、微分、概率论、数理统计的东西都有涉及。好久没有看这些东西，已经忘得差不多了，尤其是概率论的东西，学的时候就最怕算概率了。最后三个主观题，一个是算概率，P（B|A）= P（B|A的逆）证明A，B相互独立，写出证明过程；一个是说app store需要考虑到研发方提供的收益，如何给app store的app排序兼顾收益；还有一个是啥忘记了，可能就两个主观题？</p><p>面试：笔试完五天后收到了面试通知，根据自己填简历时的志愿城市分配。在酒店早上九点面试。数据分析经理岗位不用群面，过去签到了在小会议室没等多久就叫去面试了。面试官就一个人，在酒店房间，开着房门一对一面，应该是相关岗位工作人员。根据短信带了简历、成绩单、身份证复印件什么的过去的，但是只看成绩单和简历，看看各门课的成绩吧，在学校里学了啥，然后感兴趣的问一问，比如问我“Game Theory”是什么。首先问了下家庭情况，父母在哪里干什么是否独生子女，以及不是上海本地人为什么在这里面试。然后就是：</p><p>1.让回忆一下笔试的情况，觉得自己哪些地方做得好，哪些地方不行，这个在其他人的面经中看到过，幸好有把记得住的不会的题都有看一下，不至于让场面太难看。接着就问了一个概率论的题甲乙抛硬币，甲先抛，乙后抛，谁先抛到反面谁赢，问甲赢的概率。现场作答，还准备的有草稿纸和笔供演算。</p><p>2.问会哪些数据处理软件，比如R语言啊这些，然后问觉得自己机器学习哪块比较拿手，数据库问掌握的程度，然后提一个小问题比如&quot;select from where groupby&quot;这些关键词的使用顺序，以及为什么要这么排序。</p><p>3.问一些和简历上实习的经历。</p><p>4.问是否方便看一下手机上都用哪些app。然后就是有没有什么问题需要反问的问题，楼主问了啥时候出结果，（因为看有的面经说当天技术面、HR面都走完），对方说就这两天问我问这个干什么，楼主说心里好有底（翻译过来就是“我好知道什么时候可以自行确认自己凉了不抱期望”）</p>,面试未通过,有难度,一般
ICIS安迅思中国,上海,首先和HR面谈，之后会笔试。笔试分为数据分析和英语翻译。我数据分析经历浅，数据分析题对我是个很大的挑战。,面试未通过,有难度,一般
恒生电子,杭州,问一些有关金融和软件方面的问题，要对金融发展有一定的了解，对相关软件熟练运用，对行业和工作岗位的见解。,感觉靠谱,有难度,很好
贝朗医疗,上海,一共三面  主管-HR-CEO 主管面主要集中过往工作经历，细致的问每一个点，比较严谨 HR面主要问一些个人情况薪酬之类的 大boss面试比较集中在文化交流，发展交流之类的 总体比较轻松，只要工作经历匹配，问题不大,面试通过,有难度,一般
旺旺集团,上海,在大门外等待，人事下楼来接，填写相关信息，性格测试，然后正式开始面试，县自我介绍，然后问问题，都挺简单，最后是技能测试，让你做一些题，只要作对就可以了。,感觉靠谱,有难度,一般
森马semir,温州,在上海参加的面试，面试的经理对我印象挺好的，总监的话，先是让我看了一个画在白板上的图，就是一个人的成长历程吧，因为本人因为个中原因，每年基本换一次工作，导致森马那次面试，给我造成阴影吧，也是第一次有面试官给我造成巨大的打击，此后一个月内，虽然找到工作了，但是老想一个问题就是，你到底想要做什么？所以工作认认真真考虑，因为自己想做什么真的很重要，或者说你想接下来有什么样的发展应该好好规划和对症下药的来找工作。,面试未通过,一般,不好
南京链家房地产经纪有限公司,南京,<p>第一轮面试是业务主管，主要问了对职位的理解、为什么投这个职位及性格优缺点；</p><p>第二轮面试是运营总监，面试主要围绕简历，询问过去的工作经历，回答运营相关问题；</p><p>第三轮面试是HR总监，与第二轮内容类似。</p>,面试通过,一般,很好
广东省电信规划设计院,广州,一轮自我介绍，简历提问，专业背景知识提问 二轮人力资源面试，薪酬等各方面试探 三体检后等通知 过程很简单，没啥太大难度，只是国企选人感觉都不太透明，很悬乎，不知道为啥被刷，最后体检完都没收到通知。,面试未通过,有难度,一般
北京天联珂商贸有限责任公司,北京,分为两面。一面为小组讨论。作为零售商，问题如果我们买的手机出现了问题，我们应该如何处理，现有个人陈述的一个机会，然后是小组讨论，最后给出结论，由于我们小组的人答案都比较接近，很快就有了统一答案，最后的时间就一直在重复原来的回答。一般会刷掉一半的人。然后当场就会有结果，紧接着就要进行二面，两个人对一个人，一个人主要问大学经历什么的，然后另外一个人就会问和工作相关的内容，最后就是自己提问就可以了。,感觉靠谱,一般,一般
携程旅行网,上海,到了公司基本是HR会让你在一个小办公室等着，然后让你填写一些材料（主要都是基本信息），然后会让你画一颗树，不知道为什么会让画一棵树，是自然界的树哈，弄好之后，HR会将你的材料收走，然后你等待一下，就会有你面试的部门的人过来面试，如果通过部门面试，接下来基本就是HR的面试，HR面试也过了，之后就会让你做一个online test，达到60分以上，基本就会收到OFFER了,面试通过,有难度,一般
利群集团股份有限公司,青岛,1、去了先是填个应聘登记表，走廊里人很多 2、面试时间5分钟左右，就是让你大概的介绍下工作经历。 3、面试官代表着公司形象，专业素质很高。,感觉靠谱,有难度,一般
韩都衣舍,济南,面试完了我忍不住要发表一个帖子来给接下来要去面试的人看。首先是初试，初试前会让你填一个个人简历以及做40道题，这40道题并没有测试你任何智力与专业的知识，都是一些你自己的人生规划之类的测试，就像我们平时自己在网上做的测试一样。 好了，接下来初试，是人力面的，不专业，问些基本的问题以及个人的经历，注意EXCEL表格的东西会问。 接下来是复试，我忍不住要吐槽，估计复试的人是这个部门的官，三个人面我一个，但是一直是一个年轻的男的跟我哔哔。说实话挺失望，对面试的HR很失望，感觉他们很水，扯不出什么东西，面试不严肃就像是在聊天，胡扯了近一个小时，下午收到消息没有面试上，我真是呵呵呵的不能再呵呵呵呵了，真的对韩都衣舍很失望，所以，我接下来说，如果你们去面试一定不要多说话！他扯你一定不要中套！这真是一个套路！装作的太好了他们。,面试未通过,一般,很好
上美,上海,<p>1、填表：填写公司给到的简历表；</p><p>2、面试：①面试的地方有很多面试官面试各种人，如我跟邻座同时与各自的面试官进行面试，所以选一个好的位置是有必要的；</p><p>②一面：HR，面试的流程都很常见，简短的自我介绍、工作经历、相关技能、离职原因、发展方向等等，最后面试官问你想问什么，无非是这个职位属于哪个部门？部门几个人？现在招人是什么原因？试用期多久？上班时间等；</p><p>③二面：部门领导，首先了解大概的情况，更多的涉及工作内容，看双方是否符合对方的要求；</p><p>④以上面试通过后直接要人，与HR谈待遇，HR给到offer。</p>,感觉靠谱,有难度,很好
